"Skill","RelativePath","RootHash","DocumentSkillsHash"
"pdf","scripts\fill_fillable_fields.py","65B3E41969707022283A313A4CF9696D31793CBE255DFFE13370E75ABDA448A7","433FF9EE313AC666821C5640A2EA2CBEABE84238E332E6D18EF26365EE300BB9"
"pdf","scripts\fill_pdf_form_with_annotations.py","599D6F307EDB4EE6B837F21D0EA860C41C22246E270B45D6BC750C5B87C86CE0","C84B02AF6C429203D91B8BE2E1A4209C2B2013FC742E3F766EC666860EA8D48A"
"pdf","SKILL.md","252D234AC391E2B6C51EC589C7CF8BF4C50BA2993E5F1876B4093D351362E527","137515C7AE1E7E119C895CBDF832E28DDAC72E2C6157C22874566F3FE4CCB1A6"
"pptx","html2pptx.md","F08ED7580969B796D9CD5ADE93E2CDEE981DCAF13CC5EB12E8D4A3700C2D6047","DDCFB3C719489236E2B14D0816C93460D1AA60BEE5797FB117315B895465FA52"
"pptx","LICENSE.txt","79F6D8F5B427252FA3B1C11ECDBDB6BF610B944F7530B4DE78F770F38741CFAA","6F8BD7F4D8EC5CB52B7A59CCB9E8C14C2A4BA529CB5ADFC5E0BC676892B8CA79"
"pptx","ooxml.md","09868E9F1786765421ECF3F0F49C77006738EFDA82A76DF43ED87F7A9BFE2467","00E8BD36250B1E2629A8B7DBAE5798963F44F2AFC7377E5404C86C64B759400F"
"pptx","ooxml\schemas\ecma\fouth-edition\opc-contentTypes.xsd","9E0B7209FC69AB11987900404540969976000C5EBE4D4F58C43DC3842886BF3A","49EC1C03440A9B5590E69ACDF92B200FE133697DE0B05F43A129FB94D1885026"
"pptx","ooxml\schemas\ecma\fouth-edition\opc-coreProperties.xsd","451958454E8588DFC7CD945981ADA142CA06FF3307937F5700DF059C2B307FA8","69688EA15F82A870053B9A60C79359063DBCFEEC9CDABAFABAD51A53934BC35B"
"pptx","ooxml\schemas\ecma\fouth-edition\opc-digSig.xsd","6DE111E11403F7CD49027400755BAE0EA1CABEF2815F09BD40A24F0017613B24","EE7E7E1B9A1340536E25E87C8650A2B90A43B0E67D02D6746CD430048B3C1439"
"pptx","ooxml\schemas\ecma\fouth-edition\opc-relationships.xsd","F565ADFEF5A502044ABC3A9153E157EDC25AF78304D335994AFB958874B15E26","607FFB6879CF5D5D765BFDFB2548F3F427EA964DDEE6D08A15F0DC781749866D"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\dml-chart.xsd","41B93BD8857CC68B1E43BE2806A872D736A9BDD6566900062D8FDB57D7BBB354","4DE4390A26E7E44E682ED98B39872CCE2620F807F5B0DE421567A43F74526388"
